City Key,City,Location,State Province Key
99986,Wallagrass,POINT (-68.5972677 47.1294837),19
99994,Weld,POINT (-70.4214543 44.6986707),19
99996,Wells,POINT (-70.5808867 43.3220301),19
97091,Inguadona,POINT (-94.1302482 46.9832886),23
99353,Marcell,POINT (-93.6907581 47.5929997),23
99357,Markville,POINT (-92.3307496 46.091888),23
95253,Jane,POINT (-94.3052108 36.5472962),25
96177,Buell,POINT (-91.4390477 39.0342075),25
100840,Tiff City,POINT (-94.617168 36.668405),25
106631,White Church,POINT (-91.7862581 36.8503352),25
96636,Lisco,POINT (-102.6201979 41.4972022),27
101902,Hanna,POINT (-110.7651617 40.4041143),44
105949,Westwater,POINT (-109.1123346 39.0783178),44
98140,Walapai,POINT (-113.8841137 35.3444389),3
99662,Cortaro,POINT (-111.0884337 32.3561848),3
94935,Karthaus,POINT (-78.1138962 41.1208924),38
100413,Devault,POINT (-75.5351981 40.0745503),38
100434,Dry Run,POINT (-77.7538812 40.1675853),38
102050,Rose Tree,POINT (-75.3901933 39.934278),38
102076,Sabinsville,POINT (-77.525262 41.8678482),38
102100,Sarversville,POINT (-79.7556061 40.7195095),38
102456,Cadogan,POINT (-79.5811576 40.7539533),38
103589,Linden,POINT (-80.1408895 40.2281261),38
103648,Marguerite,POINT (-79.463371 40.2636811),38
103655,Marion Hill,POINT (-80.2958956 40.7303435),38
104305,Shay,POINT (-79.4547654 40.7364533),38
104322,Sigel,POINT (-79.1130938 41.275063),38
105377,Trout Run,POINT (-77.0569132 41.3861872),38
93646,Bozeman Hot Springs,POINT (-111.185003389 45.6661472137),26
93760,Fishtail,POINT (-109.5043343 45.4535539),26
94558,Richland,POINT (-106.0511296 48.8208593),26
94644,Twodot,POINT (-110.072964 46.4243971),26
100082,Bozeman Hot Springs,POINT (-111.185003389 45.6661472137),26
100196,Fishtail,POINT (-109.5043343 45.4535539),26
105116,Richland,POINT (-106.0511296 48.8208593),26
105202,Twodot,POINT (-110.072964 46.4243971),26
108045,Arbor Vitae,POINT (-89.6634802 45.9205077),49
108054,Armstrong Creek,POINT (-88.4462301 45.6582937),49
109282,Lunds,POINT (-88.5453795 44.6994307),49
113700,Cylon,POINT (-92.352969 45.1221865),49
106901,Crossroads,POINT (-103.3396737 33.5123245),31
106912,Dahlia,POINT (-105.2769498 35.1214409),31
107027,La Cueva,POINT (-105.2491779 35.941705),31
109856,Montoya,POINT (-104.0638615 35.0997794),31
109874,New Laguna,POINT (-107.4219909 35.0408767),31
109889,Optimo,POINT (-104.8036063 35.8903166),31
110742,Crossroads,POINT (-103.3396737 33.5123245),31
110753,Dahlia,POINT (-105.2769498 35.1214409),31
110868,La Cueva,POINT (-105.2491779 35.941705),31
114590,Montoya,POINT (-104.0638615 35.0997794),31
114608,New Laguna,POINT (-107.4219909 35.0408767),31
114623,Optimo,POINT (-104.8036063 35.8903166),31
109758,Vollmar,POINT (-104.8388616 40.1349833),6
113126,McClave,POINT (-102.8504765 38.1375074),6
113196,Pikeview,POINT (-104.8221988 38.9152705),6
113998,Andrix,POINT (-103.1927114 37.2794624),6
114022,Bergen Park,POINT (-105.3616598 39.6913769),6
114087,Chipita Park,POINT (-105.0066477 38.9244346),6
114145,East Portal,POINT (-105.6444469 39.9033204),6
108370,Dover,POINT (-72.8039852 42.9436914),45
108466,Panton,POINT (-73.340402 44.1486654),45
108467,Pawlet,POINT (-73.1762182 43.34674),45
110941,Highland Home,POINT (-86.3138546 31.9534835),1
111048,Marion Junction,POINT (-87.2388839 32.437358),1
111702,Bazemore,POINT (-87.7000188 33.8945496),1
111877,Eulaton,POINT (-85.9124671 33.6456587),1
107255,Lorentz,POINT (-80.3023077 39.0109301),48
107383,Robertsburg,POINT (-81.9512481 38.6553637),48
107413,Slanesville,POINT (-78.5227886 39.3731537),48
110080,Annamoriah,POINT (-81.227061 38.9406392),48
110203,Delray,POINT (-78.6041789 39.1945484),48
111421,Lorentz,POINT (-80.3023077 39.0109301),48
111549,Robertsburg,POINT (-81.9512481 38.6553637),48
111579,Slanesville,POINT (-78.5227886 39.3731537),48
116039,Annamoriah,POINT (-81.227061 38.9406392),48
116162,Delray,POINT (-78.6041789 39.1945484),48
108678,Skyway,POINT (-122.2542892 47.4914884),47
108743,Trentwood,POINT (-117.2107634 47.6965622),47
108758,Upper Preston,POINT (-121.907615 47.5051019),47
112229,Harbour Pointe,POINT (-122.3051342 47.8856515),47
112291,Koontzville,POINT (-118.9472435 48.0157092),47
108171,Placer,POINT (-123.3153394 42.6320633),37
108290,Wapinitia,POINT (-121.2564517 45.1142837),37
115742,Midland,POINT (-121.8202809 42.1307015),37
107492,South Laguna,POINT (-117.7431097 33.5005827),5
107558,Termo,POINT (-120.4602262 40.8657308),5
107607,Twin Peaks,POINT (-117.2336533 34.2388955),5
107623,Valley View Park,POINT (-117.3081 34.2350067),5
107721,Yermo,POINT (-116.8203127 34.9049849),5
109177,Midland,POINT (-114.8021881 33.8611293),5
109550,Midland,POINT (-114.8021881 33.8611293),5
111992,Arrowbear Lake,POINT (-117.0833709 34.2108413),5
111993,Arrowhead Highlands,POINT (-117.2628206 34.2300069),5
112863,Idria,POINT (-120.6743379 36.4169007),5
112897,Jesmond Dene,POINT (-117.1091988 33.1803157),5
114355,Idria,POINT (-120.6743379 36.4169007),5
114389,Jesmond Dene,POINT (-117.1091988 33.1803157),5
115258,South Laguna,POINT (-117.7431097 33.5005827),5
115324,Termo,POINT (-120.4602262 40.8657308),5
115373,Twin Peaks,POINT (-117.2336533 34.2388955),5
115389,Valley View Park,POINT (-117.3081 34.2350067),5
115803,Arrowbear Lake,POINT (-117.0833709 34.2108413),5
115804,Arrowhead Highlands,POINT (-117.2628206 34.2300069),5
116017,Yermo,POINT (-116.8203127 34.9049849),5
79969,Garlin,POINT (-85.2521825 37.1139534),17
80089,Johnetta,POINT (-84.191877 37.4156408),17
80107,Knifley,POINT (-85.1894035 37.2428449),17
93276,Cherokee,POINT (-82.8376626 38.0775875),17
93314,Creelsboro,POINT (-85.1974583 36.8850648),17
93367,Elkatawa,POINT (-83.4268483 37.5570338),17
77628,Lancaster,POINT (-87.8653089 38.5478262),13
82506,Roachtown,POINT (-90.0409403 38.4631066),13
84465,Birds,POINT (-87.6678032 38.8369899),13
90400,Goodings Grove,POINT (-87.9308893 41.6291984),13
77398,Dorchester,POINT (-91.5109742 43.4696942),15
90443,Ewart,POINT (-92.6104663 41.641109),15
90580,Hiteman,POINT (-92.8921428 41.0588945),15
90614,Jamison,POINT (-93.7249413 41.1216623),15
92478,Orpha,POINT (-105.5035999 42.8546892),50
92554,Wapiti,POINT (-109.4376625 44.4685604),50
87110,Colebrook,POINT (-73.0956646 41.9895388),7
87261,Topstone,POINT (-73.4490109 41.2959287),7
78006,North Eaton,POINT (-81.9812516 41.3133839),35
78035,Oakshade,POINT (-84.1521691 41.6689399),35
78218,Scioto Furnace,POINT (-82.76489 38.7986875),35
79132,North Eaton,POINT (-81.9812516 41.3133839),35
79161,Oakshade,POINT (-84.1521691 41.6689399),35
79344,Scioto Furnace,POINT (-82.76489 38.7986875),35
78445,North Ridge,POINT (-78.8258709 43.2125562),32
80292,Virgil,POINT (-76.1943742 42.5106272),32
80336,Wells,POINT (-74.2895826 43.3959017),32
81483,Conewango,POINT (-79.0311516 42.2386716),32
81492,Copake,POINT (-73.5501211 42.1034238),32
81567,Eagle Valley,POINT (-74.226814 41.1548173),32
81632,Esopus,POINT (-73.9651379 41.8278707),32
83832,Arietta,POINT (-74.5176433 43.246181),32
83840,Ashland,POINT (-74.3334789 42.3036956),32
83842,Athol Springs,POINT (-78.8664229 42.769781),32
83884,Beekmantown,POINT (-73.4920802 44.7708742),32
83907,Big Moose,POINT (-74.9151774 43.8183991),32
83933,Bowmansville,POINT (-78.6847515 42.9383918),32
84011,Caton,POINT (-77.0277448 42.0561853),32
84046,Cherryplain,POINT (-73.3581648 42.6292474),32
86250,Greenfield,POINT (-73.8737345 43.1375737),32
86258,Greig,POINT (-75.3546233 43.681458),32
92115,Richland,POINT (-76.0476996 43.5695139),32
92119,Ridgeway,POINT (-78.3897468 43.2672802),32
92132,Roe Park,POINT (-73.8834702 41.3064828),32
92188,Sauquoit,POINT (-75.2598859 43.0042365),32
92205,Scott,POINT (-76.2432628 42.7295128),32
76129,Mendoza,POINT (-97.6861117 30.00494),43
77822,Batson,POINT (-94.6071417 30.2493767),43
77852,Ben Arnold,POINT (-96.988043 30.9637973),43
77866,Bernstein,POINT (-101.3571044 36.3941959),43
80662,Morita,POINT (-101.6337386 32.1845661),43
80752,North Cowden,POINT (-102.5129264 32.0045624),43
80985,Ridgeway,POINT (-95.7694058 33.180391),43
82104,Dickworsham,POINT (-98.1155976 33.7514907),43
83476,Plata,POINT (-104.0176921 29.8762836),43
83491,Port Alto,POINT (-96.4133057 28.6599945),43
84888,Kopperl,POINT (-97.5039076 32.0698734),43
85782,Tarzan,POINT (-101.9751408 32.3053922),43
85854,Truscott,POINT (-99.8112042 33.7542544),43
85883,Vair,POINT (-94.9135442 31.2810176),43
91604,Cherokee,POINT (-98.7075397 30.9823928),43
91707,Coupland,POINT (-97.3886085 30.4599264),43
91748,Dallardsville,POINT (-94.6318698 30.6285363),43
91757,Dawn,POINT (-102.1999199 34.9103368),43
91770,Del Valle,POINT (-97.6547243 30.2107669),43
69313,Dover,POINT (-95.9374886 38.9647239),16
69386,Furley,POINT (-97.2128162 37.8791795),16
69884,Kalvesta,POINT (-100.2862511 38.0594637),16
70923,Page City,POINT (-101.1462666 39.0897299),16
70996,Richland,POINT (-95.5397011 38.8836141),16
71029,Sallyards,POINT (-96.5072359 37.8214116),16
71060,Sherwin,POINT (-94.9477381 37.1800624),16
71159,Wells,POINT (-97.550864 39.1388872),16
67391,Liberty Grove,POINT (-76.1199511 39.6559424),20
67402,Long Meadow,POINT (-77.7122154 39.6862063),20
67557,Ruthsburg,POINT (-75.9579945 39.0031683),20
70234,Dickerson,POINT (-77.424153 39.220104),20
67099,Capa,POINT (-100.9781948 44.1088749),41
68739,Tschetter Colony,POINT (-97.6861778 43.3702642),41
38744,Yewed,POINT (-98.4338585885 36.6862008006),36
44710,Balko,POINT (-100.708656688 36.6339746006),36
44806,Catesby,POINT (-99.9866879885 36.4970385006),36
44851,Cookietown,POINT (-98.4771715885 34.2790367006),36
48004,Komalty,POINT (-99.0141345885 35.0515040006),36
48073,McQueen,POINT (-99.7255445885 34.6706795006),36
38288,Berville,POINT (-82.8829846 42.9083621),22
38468,Ewen,POINT (-89.2812556 46.535222),22
41628,Lexington Heights,POINT (-82.5246458 43.2250269),22
41699,Mineral Hills,POINT (-88.6479102 46.1132871),22
44986,Good Hart,POINT (-85.113118 45.5672308),22
49016,North Manitou,POINT (-85.979256 45.1202637),22
52553,Imlaystown,POINT (-74.5151531 40.1676117),30
52637,Maple Shade,POINT (-74.9923915 39.9526127),30
52639,Marcella,POINT (-74.4743222 40.9870425),30
52657,Mickleton,POINT (-75.2376834 39.7901134),30
54571,Towaco,POINT (-74.3454282 40.922043),30
55567,Branchburg Park,POINT (-74.6848824 40.5723251),30
55710,Francis Mills,POINT (-74.3973717 40.1348354),30
55733,Golf View,POINT (-75.4693628 39.7006692),30
52862,Hollandsburg,POINT (-87.0722345 39.760321),14
53015,Midland,POINT (-87.1916803 39.1219874),14
51780,Chaseley,POINT (-99.8201206 47.4502759),34
66011,Caselton,POINT (-114.4852707 37.9191297),28
66094,Mount Montgomery,POINT (-118.3215086 37.9796525),28
66127,Salt Wells,POINT (-118.5829202 39.3751976),28
72125,Wrangell,POINT (-132.3766667 56.4708333),2
72646,Biorka,POINT (-166.2080556 53.8269444),2
72743,Haycock,POINT (-161.1655556 65.2097222),2
72760,Ikatan,POINT (-163.3083333 54.75),2
72808,Lemeta,POINT (-147.7322222 64.8597222),2
72894,Port Chilkoot,POINT (-135.4377778 59.2288889),2
75393,Corryton,POINT (-83.7824062 36.1536937),42
75467,Frankewing,POINT (-86.8511135 35.19258),42
62350,Nesmith,POINT (-79.5133935 33.6590552),40
62352,New Zion,POINT (-80.0292406 33.8443276),40
62500,Verdery,POINT (-82.2492911 34.1092876),40
64693,Boyden Arbor,POINT (-80.9456453 34.0240436),40
64723,Cherry Grove Beach,POINT (-78.6427922 33.8273947),40
64760,Dorchester,POINT (-80.3942635 33.1398875),40
63345,Lancaster,POINT (-76.4663391 37.7698602),46
63483,Oakpark,POINT (-78.1600014 38.3667957),46
66579,Deeson,POINT (-90.8595487 34.0231639),24
66646,Glancy,POINT (-90.4964839 31.8184955),24
68127,Mashulaville,POINT (-88.7442171 33.0867933),24
68305,Scott,POINT (-91.0742748 33.5917794),24
68504,Tomnolen,POINT (-89.3606259 33.4848451),24
50966,Scott,POINT (-82.6668019 32.5518326),10
50969,Sea Island,POINT (-81.3498179 31.1835648),10
54379,Coosa,POINT (-85.3544002 34.2545377),10
54435,Dover,POINT (-81.7151103 32.5771168),10
57487,Gresston,POINT (-83.2523765 32.286281),10
57489,Griswoldville,POINT (-83.4887852 32.8706936),10
57592,Leathersville,POINT (-82.4398499 33.7167949),10
66741,North Eaton,POINT (-81.9812516 41.3133839),35
66770,Oakshade,POINT (-84.1521691 41.6689399),35
66953,Scioto Furnace,POINT (-82.76489 38.7986875),35
63824,Ewart,POINT (-92.6104663 41.641109),15
63961,Hiteman,POINT (-92.8921428 41.0588945),15
63995,Jamison,POINT (-93.7249413 41.1216623),15
65840,Dorchester,POINT (-91.5109742 43.4696942),15
59622,Placer,POINT (-123.3153394 42.6320633),37
62292,Wapinitia,POINT (-121.2564517 45.1142837),37
63787,Midland,POINT (-121.8202809 42.1307015),37
59350,Montoya,POINT (-104.0638615 35.0997794),31
59368,New Laguna,POINT (-107.4219909 35.0408767),31
59383,Optimo,POINT (-104.8036063 35.8903166),31
59768,Crossroads,POINT (-103.3396737 33.5123245),31
59779,Dahlia,POINT (-105.2769498 35.1214409),31
59893,La Cueva,POINT (-105.2491779 35.941705),31
71742,Vollmar,POINT (-104.8388616 40.1349833),6
73983,McClave,POINT (-102.8504765 38.1375074),6
74053,Pikeview,POINT (-104.8221988 38.9152705),6
74470,Andrix,POINT (-103.1927114 37.2794624),6
74494,Bergen Park,POINT (-105.3616598 39.6913769),6
74559,Chipita Park,POINT (-105.0066477 38.9244346),6
74617,East Portal,POINT (-105.6444469 39.9033204),6
73832,Lancaster,POINT (-87.8653089 38.5478262),13
74447,Goodings Grove,POINT (-87.9308893 41.6291984),13
75086,Roachtown,POINT (-90.0409403 38.4631066),13
75669,Birds,POINT (-87.6678032 38.8369899),13
72156,Garlin,POINT (-85.2521825 37.1139534),17
72276,Johnetta,POINT (-84.191877 37.4156408),17
72294,Knifley,POINT (-85.1894035 37.2428449),17
73216,Cherokee,POINT (-82.8376626 38.0775875),17
73254,Creelsboro,POINT (-85.1974583 36.8850648),17
73307,Elkatawa,POINT (-83.4268483 37.5570338),17
40879,Skyway,POINT (-122.2542892 47.4914884),47
40944,Trentwood,POINT (-117.2107634 47.6965622),47
40959,Upper Preston,POINT (-121.907615 47.5051019),47
49101,Harbour Pointe,POINT (-122.3051342 47.8856515),47
49163,Koontzville,POINT (-118.9472435 48.0157092),47
43085,Orpha,POINT (-105.5035999 42.8546892),50
43161,Wapiti,POINT (-109.4376625 44.4685604),50
41745,Colebrook,POINT (-73.0956646 41.9895388),7
41896,Topstone,POINT (-73.4490109 41.2959287),7
45327,Bazemore,POINT (-87.7000188 33.8945496),1
45502,Eulaton,POINT (-85.9124671 33.6456587),1
48482,Highland Home,POINT (-86.3138546 31.9534835),1
48589,Marion Junction,POINT (-87.2388839 32.437358),1
39240,Ward Ridge,POINT (-85.2849181 29.7885429),9
39257,West Frostproof,POINT (-81.5831327 27.733641),9
45887,Astor Park,POINT (-81.5720175 29.1535911),9
45901,Bakers Mill,POINT (-82.939302 30.5796601),9
45963,Bratt,POINT (-87.4274794 30.9657386),9
46034,Compass Lake,POINT (-85.3927045 30.5926937),9
48157,Florahome,POINT (-81.8834269 29.7327446),9
48409,Lynne,POINT (-81.9173071 29.1924772),9
56477,Richland,POINT (-106.0511296 48.8208593),26
56563,Twodot,POINT (-110.072964 46.4243971),26
58076,Bozeman Hot Springs,POINT (-111.185003389 45.6661472137),26
58190,Fishtail,POINT (-109.5043343 45.4535539),26
51387,Lorentz,POINT (-80.3023077 39.0109301),48
51514,Robertsburg,POINT (-81.9512481 38.6553637),48
51544,Slanesville,POINT (-78.5227886 39.3731537),48
58407,Annamoriah,POINT (-81.227061 38.9406392),48
58530,Delray,POINT (-78.6041789 39.1945484),48
49915,Arietta,POINT (-74.5176433 43.246181),32
49923,Ashland,POINT (-74.3334789 42.3036956),32
49925,Athol Springs,POINT (-78.8664229 42.769781),32
49967,Beekmantown,POINT (-73.4920802 44.7708742),32
49990,Big Moose,POINT (-74.9151774 43.8183991),32
50016,Bowmansville,POINT (-78.6847515 42.9383918),32
50094,Caton,POINT (-77.0277448 42.0561853),32
50129,Cherryplain,POINT (-73.3581648 42.6292474),32
50541,Conewango,POINT (-79.0311516 42.2386716),32
50550,Copake,POINT (-73.5501211 42.1034238),32
50625,Eagle Valley,POINT (-74.226814 41.1548173),32
50690,Esopus,POINT (-73.9651379 41.8278707),32
53573,North Ridge,POINT (-78.8258709 43.2125562),32
55324,Richland,POINT (-76.0476996 43.5695139),32
55328,Ridgeway,POINT (-78.3897468 43.2672802),32
55341,Roe Park,POINT (-73.8834702 41.3064828),32
55397,Sauquoit,POINT (-75.2598859 43.0042365),32
55414,Scott,POINT (-76.2432628 42.7295128),32
57148,Greenfield,POINT (-73.8737345 43.1375737),32
57156,Greig,POINT (-75.3546233 43.681458),32
58770,Virgil,POINT (-76.1943742 42.5106272),32
58814,Wells,POINT (-74.2895826 43.3959017),32
49849,Kopperl,POINT (-97.5039076 32.0698734),43
50480,Mendoza,POINT (-97.6861117 30.00494),43
51184,Cherokee,POINT (-98.7075397 30.9823928),43
51287,Coupland,POINT (-97.3886085 30.4599264),43
51328,Dallardsville,POINT (-94.6318698 30.6285363),43
51337,Dawn,POINT (-102.1999199 34.9103368),43
51350,Del Valle,POINT (-97.6547243 30.2107669),43
52261,Dickworsham,POINT (-98.1155976 33.7514907),43
53765,Ridgeway,POINT (-95.7694058 33.180391),43
55046,Tarzan,POINT (-101.9751408 32.3053922),43
55117,Truscott,POINT (-99.8112042 33.7542544),43
55146,Vair,POINT (-94.9135442 31.2810176),43
56631,Morita,POINT (-101.6337386 32.1845661),43
56721,North Cowden,POINT (-102.5129264 32.0045624),43
56868,Plata,POINT (-104.0176921 29.8762836),43
56883,Port Alto,POINT (-96.4133057 28.6599945),43
59037,Batson,POINT (-94.6071417 30.2493767),43
59067,Ben Arnold,POINT (-96.988043 30.9637973),43
59081,Bernstein,POINT (-101.3571044 36.3941959),43
39337,Arbor Vitae,POINT (-89.6634802 45.9205077),49
39346,Armstrong Creek,POINT (-88.4462301 45.6582937),49
39562,Cylon,POINT (-92.352969 45.1221865),49
43529,Lunds,POINT (-88.5453795 44.6994307),49
37955,Rose Tree,POINT (-75.3901933 39.934278),38
37981,Sabinsville,POINT (-77.525262 41.8678482),38
38005,Sarversville,POINT (-79.7556061 40.7195095),38
38043,Shay,POINT (-79.4547654 40.7364533),38
38060,Sigel,POINT (-79.1130938 41.275063),38
40339,Cadogan,POINT (-79.5811576 40.7539533),38
41144,Devault,POINT (-75.5351981 40.0745503),38
41165,Dry Run,POINT (-77.7538812 40.1675853),38
43788,Linden,POINT (-80.1408895 40.2281261),38
43847,Marguerite,POINT (-79.463371 40.2636811),38
43854,Marion Hill,POINT (-80.2958956 40.7303435),38
45084,Trout Run,POINT (-77.0569132 41.3861872),38
46657,Karthaus,POINT (-78.1138962 41.1208924),38
38886,Schaal,POINT (-93.961022 33.8262286),4
39003,Wesson,POINT (-92.7626597 33.1154128),4
41975,Greenfield,POINT (-90.712611999999993 35.6323013),4
41981,Grider,POINT (-89.9806435 35.6386903),4
44039,Lisco,POINT (-102.6201979 41.4972022),27
62054,Hanna,POINT (-110.7651617 40.4041143),44
65982,Westwater,POINT (-109.1123346 39.0783178),44
61264,Buell,POINT (-91.4390477 39.0342075),25
63191,White Church,POINT (-91.7862581 36.8503352),25
64642,Tiff City,POINT (-94.617168 36.668405),25
65501,Jane,POINT (-94.3052108 36.5472962),25
64869,Dover,POINT (-72.8039852 42.9436914),45
64965,Panton,POINT (-73.340402 44.1486654),45
64966,Pawlet,POINT (-73.1762182 43.34674),45
60696,White Horse Beach,POINT (-70.5578093 41.9309375),21
61407,Ashland,POINT (-71.4633956 42.2612067),21
61426,Bernardston,POINT (-72.5495336 42.6709176),21
61446,Brookville,POINT (-71.0092126 42.1251),21
61474,Cotuit,POINT (-70.4369703 41.6167766),21
61486,Dracut,POINT (-71.3020052 42.6703687),21
61503,Edgartown,POINT (-70.5133599 41.3890052),21
61577,Lancaster,POINT (-71.6731246 42.4556475),21
61587,Liberty Plain,POINT (-70.882822 42.1889895),21
61639,New Braintree,POINT (-72.1259114 42.3167581),21
60388,Saint Landry,POINT (-92.257905 30.8443611),18
60480,Vidrine,POINT (-92.3981875 30.6926971),18
62870,Hanna,POINT (-93.3476723 31.9612732),18
63018,Meaux,POINT (-92.1826264 30.0207608),18
64098,Alden Bridge,POINT (-93.720178 32.7751427),18
64280,Donner,POINT (-90.9442629 29.6957647),18
78610,Bozeman Hot Springs,POINT (-111.185003389 45.6661472137),26
78724,Fishtail,POINT (-109.5043343 45.4535539),26
85048,Richland,POINT (-106.0511296 48.8208593),26
85134,Twodot,POINT (-110.072964 46.4243971),26
86662,Richland,POINT (-106.0511296 48.8208593),26
86748,Twodot,POINT (-110.072964 46.4243971),26
89091,Bozeman Hot Springs,POINT (-111.185003389 45.6661472137),26
89205,Fishtail,POINT (-109.5043343 45.4535539),26
76193,Astor Park,POINT (-81.5720175 29.1535911),9
76207,Bakers Mill,POINT (-82.939302 30.5796601),9
82730,Bratt,POINT (-87.4274794 30.9657386),9
82801,Compass Lake,POINT (-85.3927045 30.5926937),9
84075,Florahome,POINT (-81.8834269 29.7327446),9
84327,Lynne,POINT (-81.9173071 29.1924772),9
87402,Ward Ridge,POINT (-85.2849181 29.7885429),9
87419,West Frostproof,POINT (-81.5831327 27.733641),9
53304,Inguadona,POINT (-94.1302482 46.9832886),23
54725,Marcell,POINT (-93.6907581 47.5929997),23
54729,Markville,POINT (-92.3307496 46.091888),23
50281,Tremont,POINT (-68.4155746 44.2667467),19
50290,Vassalboro,POINT (-69.6775451 44.4592341),19
50297,Wallagrass,POINT (-68.5972677 47.1294837),19
50305,Weld,POINT (-70.4214543 44.6986707),19
50307,Wells,POINT (-70.5808867 43.3220301),19
51999,Beals,POINT (-67.6149935 44.5198009),19
52099,Edgecomb,POINT (-69.630602 43.9584129),19
52156,Hodgdon,POINT (-67.8666846 46.0539429),19
71783,Alstead,POINT (-72.3606431 43.1489663),29
71834,Dorchester,POINT (-71.9486943 43.7567382),29
71855,Gilford,POINT (-71.4067385 43.5475771),29
71864,Greenfield,POINT (-71.8723003 42.9506384),29
72576,Walapai,POINT (-113.8841137 35.3444389),3
73446,Cortaro,POINT (-111.0884337 32.3561848),3
66356,Long Beach,POINT (-78.1177711 33.9104515),33
67689,Roberta Mill,POINT (-80.6359013 35.3573633),33
67746,Shawboro,POINT (-76.0940962 36.4054333),33
67833,Valhalla,POINT (-76.6577239 36.1371028),33
70334,Abbottsburg,POINT (-78.7250179 34.517114),33
97210,Dover,POINT (-72.8039852 42.9436914),45
97306,Panton,POINT (-73.340402 44.1486654),45
97307,Pawlet,POINT (-73.1762182 43.34674),45
41398,Idria,POINT (-120.6743379 36.4169007),5
41432,Jesmond Dene,POINT (-117.1091988 33.1803157),5
47050,Midland,POINT (-114.8021881 33.8611293),5
47626,South Laguna,POINT (-117.7431097 33.5005827),5
47692,Termo,POINT (-120.4602262 40.8657308),5
47741,Twin Peaks,POINT (-117.2336533 34.2388955),5
47757,Valley View Park,POINT (-117.3081 34.2350067),5
47855,Yermo,POINT (-116.8203127 34.9049849),5
48762,Arrowbear Lake,POINT (-117.0833709 34.2108413),5
48763,Arrowhead Highlands,POINT (-117.2628206 34.2300069),5
97733,Arbor Vitae,POINT (-89.6634802 45.9205077),49
97742,Armstrong Creek,POINT (-88.4462301 45.6582937),49
97958,Cylon,POINT (-92.352969 45.1221865),49
102762,Lunds,POINT (-88.5453795 44.6994307),49
76733,McClave,POINT (-102.8504765 38.1375074),6
76803,Pikeview,POINT (-104.8221988 38.9152705),6
89594,Andrix,POINT (-103.1927114 37.2794624),6
89618,Bergen Park,POINT (-105.3616598 39.6913769),6
89683,Chipita Park,POINT (-105.0066477 38.9244346),6
89741,East Portal,POINT (-105.6444469 39.9033204),6
91534,Vollmar,POINT (-104.8388616 40.1349833),6
79797,Crossroads,POINT (-103.3396737 33.5123245),31
79808,Dahlia,POINT (-105.2769498 35.1214409),31
79922,La Cueva,POINT (-105.2491779 35.941705),31
88082,Montoya,POINT (-104.0638615 35.0997794),31
88100,New Laguna,POINT (-107.4219909 35.0408767),31
88115,Optimo,POINT (-104.8036063 35.8903166),31
82935,Lorentz,POINT (-80.3023077 39.0109301),48
83062,Robertsburg,POINT (-81.9512481 38.6553637),48
83092,Slanesville,POINT (-78.5227886 39.3731537),48
87766,Annamoriah,POINT (-81.227061 38.9406392),48
87889,Delray,POINT (-78.6041789 39.1945484),48
