Sale Key,City Key,Customer Key,Stock Item Key,Invoice Date Key,Delivery Date Key,Salesperson Key,WWI Invoice ID,Quantity,Unit Price,Total Excluding Tax,Tax Amount,Region
71199,48937,0,199,20/07/2018,21/07/2018,3,21919,1,13,13,1.95,Far West
,,,,,,,,0,,,,Far West
74966,72610,0,172,13/08/2018,14/08/2018,3,23051,1,13,13,1.95,Far West
75128,48937,0,174,15/08/2018,18/08/2018,3,23103,1,13,13,1.95,Far West
76169,91464,0,178,20/08/2018,23/08/2018,3,23415,1,13,13,1.95,Far West
77720,72610,0,167,30/08/2018,05/09/2018,3,23906,1,13,13,1.95,Far West
79680,72125,0,177,09/09/2018,11/09/2018,3,24495,1,13,13,1.95,Far West
79927,48937,0,190,12/09/2018,14/09/2018,3,24573,1,13,13,1.95,Far West
80044,47692,0,184,13/09/2018,16/09/2018,3,24610,1,13,13,1.95,Far West
80045,47692,0,174,13/09/2018,16/09/2018,3,24610,1,13,13,1.95,Far West
80291,72610,0,184,14/09/2018,15/09/2018,3,24689,1,13,13,1.95,Far West
81879,47757,0,200,23/09/2018,24/09/2018,3,25179,1,13,13,1.95,Far West
83530,72125,0,168,30/09/2018,06/10/2018,3,25676,1,13,13,1.95,Far West
90248,47134,0,195,03/11/2018,04/11/2018,3,27743,1,13,13,1.95,Far West
95153,47757,0,190,30/11/2018,05/12/2018,3,29264,1,13,13,1.95,Far West
97190,72709,0,186,10/12/2018,11/12/2018,3,29900,1,13,13,1.95,Far West
98033,89925,0,204,14/12/2018,15/12/2018,3,30152,1,13,13,1.95,Far West
99001,48763,0,203,20/12/2018,21/12/2018,3,30453,1,13,13,1.95,Far West
101187,87481,0,163,30/12/2018,04/01/2019,3,31130,1,13,13,1.95,Far West
101458,72894,0,171,02/01/2019,03/01/2019,3,31220,1,13,13,1.95,Far West
102035,76936,0,198,05/01/2019,06/01/2019,3,31401,1,13,13,1.95,Far West
108264,48851,0,182,13/02/2019,14/02/2019,3,33340,1,13,13,1.95,Far West
108474,44333,0,183,14/02/2019,15/02/2019,3,33408,1,13,13,1.95,Far West
108987,47855,0,195,16/02/2019,17/02/2019,3,33564,1,13,13,1.95,Far West
176324,107558,0,192,30/01/2020,02/02/2020,3,54369,1,13,13,1.95,Far West
180295,108881,0,184,19/02/2020,20/02/2020,3,55599,1,13,13,1.95,Far West
180671,112081,0,163,20/02/2020,21/02/2020,3,55718,1,13,13,1.95,Far West
181201,112381,0,184,24/02/2020,25/02/2020,3,55885,1,13,13,1.95,Far West
181247,112897,0,189,24/02/2020,25/02/2020,3,55897,1,13,13,1.95,Far West
181747,111992,0,177,27/02/2020,28/02/2020,3,56048,1,13,13,1.95,Far West
183223,72709,0,192,06/03/2020,07/03/2020,3,56502,1,13,13,1.95,Far West
190520,107721,0,179,09/04/2020,10/04/2020,3,58745,1,13,13,1.95,Far West
193446,113033,0,179,25/04/2020,26/04/2020,3,59657,1,13,13,1.95,Far West
,,,,,,,,0,,,,Far West
197986,72709,0,198,20/05/2020,21/05/2020,3,61065,1,13,13,1.95,Far West
198512,108137,0,192,22/05/2020,23/05/2020,3,61232,1,13,13,1.95,Far West
134260,41568,0,184,03/07/2019,04/07/2019,3,41359,1,13,13,1.95,Far West
135250,48937,0,203,08/07/2019,09/07/2019,3,41656,1,13,13,1.95,Far West
135962,44333,0,166,11/07/2019,12/07/2019,3,41873,1,13,13,1.95,Far West
141083,48851,0,192,08/08/2019,09/08/2019,3,43453,1,13,13,1.95,Far West
141115,48762,0,168,08/08/2019,09/08/2019,3,43462,1,13,13,1.95,Far West
142437,44333,0,179,15/08/2019,16/08/2019,3,43869,1,13,13,1.95,Far West
142283,44333,0,198,15/08/2019,16/08/2019,3,43822,1,13,13,1.95,Far West
,,,,,,,,0,,,,Far West
143648,76936,0,190,21/08/2019,22/08/2019,3,44238,1,13,13,1.95,Far West
145830,41432,0,166,01/09/2019,02/09/2019,3,44919,1,13,13,1.95,Far West
145970,77092,0,182,01/09/2019,02/09/2019,3,44960,1,13,13,1.95,Far West
148317,47134,0,181,12/09/2019,13/09/2019,3,45678,1,13,13,1.95,Far West
156764,72610,0,165,24/10/2019,25/10/2019,3,48297,1,13,13,1.95,Far West
157030,89925,0,169,25/10/2019,27/10/2019,3,48376,1,13,13,1.95,Far West
159233,41432,0,179,03/11/2019,04/11/2019,3,49048,1,13,13,1.95,Far West
160581,48833,0,194,11/11/2019,12/11/2019,3,49469,1,13,13,1.95,Far West
160842,48763,0,177,14/11/2019,15/11/2019,3,49560,1,13,13,1.95,Far West
162433,66176,0,168,21/11/2019,22/11/2019,3,50044,1,13,13,1.95,Far West
162643,108137,0,169,23/11/2019,24/11/2019,3,50113,1,13,13,1.95,Far West
164714,109634,0,167,02/12/2019,03/12/2019,3,50759,1,13,13,1.95,Far West
167881,107558,0,163,16/12/2019,17/12/2019,3,51745,1,13,13,1.95,Far West
171244,108770,0,186,02/01/2020,03/01/2020,3,52779,1,13,13,1.95,Far West
172382,111992,0,193,09/01/2020,10/01/2020,3,53137,1,13,13,1.95,Far West
172710,107558,0,169,11/01/2020,12/01/2020,3,53236,1,13,13,1.95,Far West
175790,72125,0,193,27/01/2020,29/01/2020,3,54200,1,13,13,1.95,Far West
199176,112381,0,181,26/05/2020,27/05/2020,3,61436,1,13,13,1.95,Far West
,,,,,,,,0,,,,Far West
,,,,,,,,0,,,,Far West
,,,,,,,,0,,,,Far West
204544,112167,0,194,20/06/2020,21/06/2020,3,63111,1,13,13,1.95,Far West
207674,72646,0,183,10/07/2020,11/07/2020,3,64104,1,13,13,1.95,Far West
211011,108881,0,199,27/07/2020,28/07/2020,3,65165,1,13,13,1.95,Far West
211558,109634,0,169,31/07/2020,03/08/2020,3,65340,1,13,13,1.95,Far West
211806,112381,0,190,01/08/2020,02/08/2020,3,65416,1,13,13,1.95,Far West
,,,,,,,,0,,,,Far West
217351,113033,0,178,30/08/2020,02/09/2020,3,67135,1,13,13,1.95,Far West
226910,115533,0,184,17/10/2020,18/10/2020,3,70094,1,13,13,1.95,Far West
1365,47741,0,182,31/05/2017,09/06/2017,3,497,7,13,91,13.65,Far West
2846,63578,0,198,08/06/2017,12/06/2017,3,935,7,13,91,13.65,Far West
3135,48762,0,170,09/06/2017,13/06/2017,3,1019,7,13,91,13.65,Far West
3880,47757,0,181,16/06/2017,18/06/2017,3,1245,7,13,91,13.65,Far West
4042,47855,0,181,16/06/2017,21/06/2017,3,1294,7,13,91,13.65,Far West
5128,48762,0,203,22/06/2017,26/06/2017,3,1604,7,13,91,13.65,Far West
7439,63578,0,187,08/07/2017,12/07/2017,3,2291,7,13,91,13.65,Far West
8290,48937,0,197,15/07/2017,19/07/2017,3,2551,7,13,91,13.65,Far West
11393,44333,0,197,04/08/2017,07/08/2017,3,3497,7,13,91,13.65,Far West
11449,49253,0,174,05/08/2017,06/08/2017,3,3515,7,13,91,13.65,Far West
13376,41432,0,168,16/08/2017,18/08/2017,3,4104,7,13,91,13.65,Far West
13424,72894,0,198,16/08/2017,18/08/2017,3,4117,7,13,91,13.65,Far West
14517,48851,0,175,23/08/2017,26/08/2017,3,4458,7,13,91,13.65,Far West
14865,48763,0,192,25/08/2017,31/08/2017,3,4564,7,13,91,13.65,Far West
17492,66176,0,201,09/09/2017,11/09/2017,3,5386,7,13,91,13.65,Far West
19888,41568,0,165,24/09/2017,27/09/2017,3,6129,7,13,91,13.65,Far West
22615,47741,0,169,09/10/2017,12/10/2017,3,6965,7,13,91,13.65,Far West
25649,47692,0,168,26/10/2017,01/11/2017,3,7898,7,13,91,13.65,Far West
26472,49253,0,182,29/10/2017,05/11/2017,3,8150,7,13,91,13.65,Far West
28241,48762,0,165,10/11/2017,14/11/2017,3,8707,7,13,91,13.65,Far West
,,,,,,,,0,,,,Far West
30107,48851,0,194,19/11/2017,21/11/2017,3,9272,7,13,91,13.65,Far West
31091,76936,0,191,25/11/2017,29/11/2017,3,9577,7,13,91,13.65,Far West
31158,47757,0,173,25/11/2017,29/11/2017,3,9597,7,13,91,13.65,Far West
31842,77092,0,172,30/11/2017,07/12/2017,3,9811,7,13,91,13.65,Far West
32532,41432,0,172,03/12/2017,04/12/2017,3,10030,7,13,91,13.65,Far West
35227,48763,0,182,17/12/2017,19/12/2017,3,10866,7,13,91,13.65,Far West
36258,47692,0,166,22/12/2017,24/12/2017,3,11189,7,13,91,13.65,Far West
37294,76936,0,163,29/12/2017,06/01/2018,3,11505,7,13,91,13.65,Far West
37999,41432,0,200,03/01/2018,04/01/2018,3,11732,7,13,91,13.65,Far West
38066,87481,0,194,03/01/2018,04/01/2018,3,11752,7,13,91,13.65,Far West
,,,,,,,,0,,,,Far West
39595,77092,0,167,13/01/2018,15/01/2018,3,12229,7,13,91,13.65,Far West
43210,47692,0,175,05/02/2018,06/02/2018,3,13347,7,13,91,13.65,Far West
45730,72125,0,167,18/02/2018,19/02/2018,3,14124,7,13,91,13.65,Far West
47946,77092,0,184,06/03/2018,07/03/2018,3,14789,7,13,91,13.65,Far West
48888,77092,0,184,13/03/2018,15/03/2018,3,15077,7,13,91,13.65,Far West
49532,89925,0,192,17/03/2018,18/03/2018,3,15267,7,13,91,13.65,Far West
49901,89925,0,194,19/03/2018,22/03/2018,3,15380,7,13,91,13.65,Far West
50461,72125,0,204,22/03/2018,23/03/2018,3,15551,7,13,91,13.65,Far West
51171,72894,0,198,23/03/2018,24/03/2018,3,15773,7,13,91,13.65,Far West
52175,47741,0,188,30/03/2018,07/04/2018,3,16085,7,13,91,13.65,Far West
52415,47134,0,179,31/03/2018,07/04/2018,3,16149,7,13,91,13.65,Far West
53369,72125,0,197,06/04/2018,07/04/2018,3,16433,7,13,91,13.65,Far West
55529,47741,0,184,18/04/2018,21/04/2018,3,17096,7,13,91,13.65,Far West
57330,87633,0,174,29/04/2018,05/05/2018,3,17651,7,13,91,13.65,Far West
57659,48763,0,197,02/05/2018,04/05/2018,3,17755,7,13,91,13.65,Far West
57922,47855,0,191,04/05/2018,05/05/2018,3,17840,7,13,91,13.65,Far West
57987,47757,0,197,05/05/2018,06/05/2018,3,17862,7,13,91,13.65,Far West
58841,44333,0,167,11/05/2018,12/05/2018,3,18131,7,13,91,13.65,Far West
,,,,,,,,0,,,,Far West
59954,47757,0,187,17/05/2018,20/05/2018,3,18463,7,13,91,13.65,Far West
111125,47757,0,196,02/03/2019,07/03/2019,3,34229,7,13,91,13.65,Far West
115556,48937,0,185,22/03/2019,23/03/2019,3,35579,7,13,91,13.65,Far West
117106,48851,0,194,28/03/2019,01/04/2019,3,36054,7,13,91,13.65,Far West
118009,48762,0,173,03/04/2019,04/04/2019,3,36332,7,13,91,13.65,Far West
118010,48762,0,182,03/04/2019,04/04/2019,3,36332,7,13,91,13.65,Far West
119293,44333,0,192,10/04/2019,11/04/2019,3,36717,7,13,91,13.65,Far West
119295,44333,0,181,10/04/2019,11/04/2019,3,36717,7,13,91,13.65,Far West
124081,48937,0,172,09/05/2019,10/05/2019,3,38194,7,13,91,13.65,Far West
61870,77092,0,166,28/05/2018,02/06/2018,3,19046,7,13,91,13.65,Far West
61977,72610,0,199,28/05/2018,01/06/2018,3,19079,7,13,91,13.65,Far West
62762,87481,0,202,01/06/2018,02/06/2018,3,19320,7,13,91,13.65,Far West
64784,41432,0,199,13/06/2018,15/06/2018,3,19927,7,13,91,13.65,Far West
68856,41568,0,199,05/07/2018,06/07/2018,3,21192,7,13,91,13.65,Far West
68869,91464,0,201,06/07/2018,07/07/2018,3,21199,7,13,91,13.65,Far West
69915,47692,0,201,13/07/2018,14/07/2018,3,21530,7,13,91,13.65,Far West
71240,47757,0,184,20/07/2018,23/07/2018,3,21931,7,13,91,13.65,Far West
,,,,,,,,0,,,,Far West
71727,87481,0,188,25/07/2018,27/07/2018,3,22078,7,13,91,13.65,Far West
71867,72761,0,197,26/07/2018,31/07/2018,3,22123,7,13,91,13.65,Far West
71869,72761,0,199,26/07/2018,30/07/2018,3,22123,7,13,91,13.65,Far West
72657,72125,0,204,29/07/2018,03/08/2018,3,22348,7,13,91,13.65,Far West
72733,44333,0,163,30/07/2018,05/08/2018,3,22374,7,13,91,13.65,Far West
74694,77092,0,178,11/08/2018,14/08/2018,3,22967,7,13,91,13.65,Far West
74684,72610,0,168,11/08/2018,14/08/2018,3,22964,7,13,91,13.65,Far West
75673,47741,0,193,18/08/2018,19/08/2018,3,23269,7,13,91,13.65,Far West
76012,91464,0,168,19/08/2018,21/08/2018,3,23374,7,13,91,13.65,Far West
77905,91464,0,182,31/08/2018,10/09/2018,3,23959,7,13,91,13.65,Far West
77915,91464,0,171,31/08/2018,09/09/2018,3,23962,7,13,91,13.65,Far West
78042,48937,0,177,01/09/2018,03/09/2018,3,24003,7,13,91,13.65,Far West
79881,72646,0,191,12/09/2018,14/09/2018,3,24557,7,13,91,13.65,Far West
80351,76936,0,198,14/09/2018,15/09/2018,3,24707,7,13,91,13.65,Far West
80401,47134,0,176,14/09/2018,15/09/2018,3,24720,7,13,91,13.65,Far West
81372,72709,0,173,19/09/2018,22/09/2018,3,25020,7,13,91,13.65,Far West
83699,89925,0,168,01/10/2018,08/10/2018,3,25729,7,13,91,13.65,Far West
85875,72761,0,198,13/10/2018,16/10/2018,3,26395,7,13,91,13.65,Far West
87689,41568,0,180,22/10/2018,25/10/2018,3,26954,7,13,91,13.65,Far West
90304,87633,0,188,03/11/2018,04/11/2018,3,27760,7,13,91,13.65,Far West
90632,41568,0,193,04/11/2018,05/11/2018,3,27865,7,13,91,13.65,Far West
91407,48937,0,179,10/11/2018,11/11/2018,3,28106,7,13,91,13.65,Far West
92445,72894,0,167,15/11/2018,17/11/2018,3,28422,7,13,91,13.65,Far West
95157,48762,0,173,30/11/2018,04/12/2018,3,29265,7,13,91,13.65,Far West
95894,72761,0,194,04/12/2018,05/12/2018,3,29491,7,13,91,13.65,Far West
98036,89925,0,201,14/12/2018,15/12/2018,3,30152,7,13,91,13.65,Far West
97899,41568,0,163,14/12/2018,15/12/2018,3,30113,7,13,91,13.65,Far West
100091,87481,0,180,24/12/2018,25/12/2018,3,30792,7,13,91,13.65,Far West
103972,87481,0,177,17/01/2019,18/01/2019,3,32015,7,13,91,13.65,Far West
105296,47692,0,181,25/01/2019,27/01/2019,3,32419,7,13,91,13.65,Far West
105300,87633,0,195,25/01/2019,27/01/2019,3,32420,7,13,91,13.65,Far West
105644,72125,0,190,26/01/2019,28/01/2019,3,32530,7,13,91,13.65,Far West
106016,72125,0,180,30/01/2019,03/02/2019,3,32645,7,13,91,13.65,Far West
106889,72125,0,182,03/02/2019,04/02/2019,3,32910,7,13,91,13.65,Far West
107809,89925,0,173,09/02/2019,10/02/2019,3,33202,7,13,91,13.65,Far West
108887,48851,0,170,16/02/2019,17/02/2019,3,33534,7,13,91,13.65,Far West
177342,112081,0,177,03/02/2020,04/02/2020,3,54680,7,13,91,13.65,Far West
177833,72610,0,194,06/02/2020,07/02/2020,3,54845,7,13,91,13.65,Far West
178127,72610,0,198,08/02/2020,09/02/2020,3,54937,7,13,91,13.65,Far West
178539,107721,0,199,09/02/2020,10/02/2020,3,55056,7,13,91,13.65,Far West
179323,112897,0,191,13/02/2020,14/02/2020,3,55302,7,13,91,13.65,Far West
180072,107721,0,190,16/02/2020,17/02/2020,3,55534,7,13,91,13.65,Far West
180527,111992,0,171,20/02/2020,21/02/2020,3,55673,7,13,91,13.65,Far West
181746,111992,0,180,27/02/2020,29/02/2020,3,56048,7,13,91,13.65,Far West
182203,108137,0,196,29/02/2020,02/03/2020,3,56186,7,13,91,13.65,Far West
184918,72125,0,179,13/03/2020,14/03/2020,3,57009,7,13,91,13.65,Far West
186001,72125,0,178,19/03/2020,20/03/2020,3,57349,7,13,91,13.65,Far West
186127,107607,0,183,19/03/2020,20/03/2020,3,57385,7,13,91,13.65,Far West
186920,109634,0,181,22/03/2020,23/03/2020,3,57632,7,13,91,13.65,Far West
,,,,,,,,0,,,,Far West
191178,113033,0,195,11/04/2020,12/04/2020,3,58951,7,13,91,13.65,Far West
194119,107558,0,190,29/04/2020,30/04/2020,3,59862,7,13,91,13.65,Far West
194607,72761,0,197,01/05/2020,06/05/2020,3,60010,7,13,91,13.65,Far West
195034,72125,0,186,02/05/2020,03/05/2020,3,60145,7,13,91,13.65,Far West
196925,112167,0,203,14/05/2020,15/05/2020,3,60733,7,13,91,13.65,Far West
130404,87481,0,191,12/06/2019,13/06/2019,3,40163,7,13,91,13.65,Far West
131058,72894,0,201,15/06/2019,16/06/2019,3,40364,7,13,91,13.65,Far West
132340,91464,0,178,21/06/2019,22/06/2019,3,40754,7,13,91,13.65,Far West
134444,47692,0,179,03/07/2019,04/07/2019,3,41412,7,13,91,13.65,Far West
,,,,,,,,0,,,,Far West
135891,87481,0,194,11/07/2019,12/07/2019,3,41852,7,13,91,13.65,Far West
140064,72646,0,203,03/08/2019,04/08/2019,3,43140,7,13,91,13.65,Far West
140502,87633,0,167,04/08/2019,05/08/2019,3,43277,7,13,91,13.65,Far West
144797,48833,0,188,28/08/2019,01/09/2019,3,44597,7,13,91,13.65,Far West
147747,48851,0,168,09/09/2019,10/09/2019,3,45500,7,13,91,13.65,Far West
149696,72761,0,185,19/09/2019,20/09/2019,3,46111,7,13,91,13.65,Far West
154953,47757,0,196,17/10/2019,18/10/2019,3,47751,7,13,91,13.65,Far West
157031,89925,0,167,25/10/2019,26/10/2019,3,48376,7,13,91,13.65,Far West
158664,48937,0,179,01/11/2019,02/11/2019,3,48880,7,13,91,13.65,Far West
,,,,,,,,0,,,,Far West
159824,72894,0,174,07/11/2019,08/11/2019,3,49229,7,13,91,13.65,Far West
160052,72646,0,176,08/11/2019,09/11/2019,3,49304,7,13,91,13.65,Far West
160960,47134,0,196,14/11/2019,15/11/2019,3,49599,7,13,91,13.65,Far West
161016,72610,0,198,15/11/2019,16/11/2019,3,49621,7,13,91,13.65,Far West
163480,107623,0,172,28/11/2019,29/11/2019,3,50372,7,13,91,13.65,Far West
168048,72646,0,200,19/12/2019,20/12/2019,3,51805,7,13,91,13.65,Far West
173951,112081,0,181,18/01/2020,19/01/2020,3,53619,7,13,91,13.65,Far West
175518,115533,0,188,26/01/2020,27/01/2020,3,54117,7,13,91,13.65,Far West
203112,72761,0,199,13/06/2020,14/06/2020,3,62662,7,13,91,13.65,Far West
204868,112381,0,166,23/06/2020,24/06/2020,3,63209,7,13,91,13.65,Far West
208459,113033,0,163,15/07/2020,16/07/2020,3,64355,7,13,91,13.65,Far West
209371,72894,0,175,18/07/2020,19/07/2020,3,64651,7,13,91,13.65,Far West
210474,72894,0,188,24/07/2020,25/07/2020,3,64995,7,13,91,13.65,Far West
212013,108294,0,196,02/08/2020,03/08/2020,3,65483,7,13,91,13.65,Far West
212328,108770,0,187,05/08/2020,06/08/2020,3,65577,7,13,91,13.65,Far West
213462,108137,0,165,12/08/2020,13/08/2020,3,65933,7,13,91,13.65,Far West
